,HCPC,SEQNUM,RECID,LONG DESCRIPTION,SHORT DESCRIPTION,PRICE1,PRICE2,PRICE3,PRICE4,MULT_PI,CIM1,CIM2,CIM3,MCM1,MCM2,MCM3,STATUTE,LABCERT1,LABCERT2,LABCERT3,LABCERT4,LABCERT5,LABCERT6,LABCERT7,LABCERT8,XREF1,XREF2,XREF3,XREF4,XREF5,COV,ASC_GRP,ASC_DT,OPPS,OPPS_PI,OPPS_DT,PROCNOTE,BETOS,TOS1,TOS2,TOS3,TOS4,TOS5,ANEST_BU,ADD DT,ACT EFF DT,TERM DT,ACTION CD
1178,A9570,10,3,"Indium in-111 labeled autologous white blood cells, diagnostic, per study dose",Indium in-111 auto wbc,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20080101,20250101.0,,N
1179,A9571,10,3,"Indium in-111 labeled autologous platelets, diagnostic, per study dose",Indium in-111 auto platelet,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20080101,20080101.0,,N
1180,A9572,10,3,"Indium in-111 pentetreotide, diagnostic, per study dose, up to 6 millicuries",Indium in-111 pentetreotide,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20080101,20250101.0,,N
1181,A9573,10,3,"Injection, gadopiclenol, 1 ml","Inj, gadopiclenol, 1 ml",51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20231001,20231001.0,,N
1182,A9575,10,3,"Injection, gadoterate meglumine, 0.1 ml",Inj gadoterate meglumi 0.1ml,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20140101,20140101.0,,N
1183,A9576,10,3,"Injection, gadoteridol, (prohance multipack), per ml",Inj prohance multipack,51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20080101,20080101.0,,N
1184,A9577,10,3,"Injection, gadobenate dimeglumine (multihance), per ml",Inj multihance,51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20080101,20080101.0,,N
1185,A9578,10,3,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Inj multihance multipack,51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20080101,20080101.0,,N
1186,A9579,10,3,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml","Gad-base mr contrast nos,1ml",51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20080101,20080101.0,,N
1187,A9580,10,3,"Sodium fluoride f-18, diagnostic, per study dose, up to 30 millicuries",Sodium fluoride f-18,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20090101,20090101.0,,N
1188,A9581,10,3,"Injection, gadoxetate disodium, 1 ml",Gadoxetate disodium inj,51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I2D,1,P,,,,0.0,20100101,20100101.0,,N
1189,A9582,10,3,"Iodine i-123 iobenguane, diagnostic, per study dose, up to 15 millicuries",Iodine i-123 iobenguane,51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20100101,20250101.0,,N
1190,A9583,10,3,"Injection, gadofosveset trisodium, 1 ml",Gadofosveset trisodium inj,51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20100101,20100101.0,,N
1191,A9584,10,3,"Iodine 1-123 ioflupane, diagnostic, per study dose, up to 5 millicuries",Iodine i-123 ioflupane,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20120101,20250101.0,,N
1192,A9585,10,3,"Injection, gadobutrol, 0.1 ml",Gadobutrol injection,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20120101,20120101.0,,N
1193,A9586,10,3,"Florbetapir f18, diagnostic, per study dose, up to 10 millicuries",Florbetapir f18,0.0,,,,9,,,,,,,,,,,,,,,,,,,,,D,YY,20250101.0,,,,189.0,I1E,4,,,,,0.0,20130101,20250101.0,,N
1194,A9587,10,3,"Gallium ga-68, dotatate, diagnostic, 0.1 millicurie",Gallium ga-68,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20170101,20250101.0,,N
1195,A9588,10,3,"Fluciclovine f-18, diagnostic, 1 millicurie",Fluciclovine f-18,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20170101,20250101.0,,N
1196,A9589,10,3,"Instillation, hexaminolevulinate hydrochloride, 100 mg",Insti hexaminolevulinate hcl,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20190101,20190101.0,,N
1197,A9590,10,3,"Iodine i-131, iobenguane, 1 millicurie",Iodine i-131 iobenguane 1mci,51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20200101.0,,,,,I1E,4,,,,,0.0,20200101,20200101.0,,N
1198,A9591,10,3,"Fluoroestradiol f 18, diagnostic, 1 millicurie",Fluoroestradiol f 18,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20210101,20250101.0,,N
1199,A9592,10,3,"Copper cu-64, dotatate, diagnostic, 1 millicurie",Copper cu 64 dotatate diag,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20210401,20250101.0,,N
1200,A9593,10,3,"Gallium ga-68 psma-11, diagnostic, (ucsf), 1 millicurie",Gallium ga-68 psma-11 ucsf,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20210701,20250101.0,,N
1201,A9594,10,3,"Gallium ga-68 psma-11, diagnostic, (ucla), 1 millicurie","Gallium ga-68 psma-11, ucla",57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20210701,20250101.0,,N
1202,A9595,10,3,"Piflufolastat f-18, diagnostic, 1 millicurie","Piflu f-18, dia 1 millicurie",57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20220101.0,,,,,I1E,4,,,,,0.0,20220101,20220101.0,,N
1203,A9596,10,3,"Gallium ga-68 gozetotide, diagnostic, (illuccix), 1 millicurie",Gallium illuccix 1 millicure,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20220701.0,,,,,I1E,4,,,,,0.0,20220701,20220701.0,,N
1204,A9597,10,3,"Positron emission tomography radiopharmaceutical, diagnostic, for tumor identification, not otherwise classified","Pet, dx, for tumor id, noc",57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20170101,20170101.0,,N
1205,A9598,10,3,"Positron emission tomography radiopharmaceutical, diagnostic, for non-tumor identification, not otherwise classified","Pet dx for non-tumor id, noc",57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20170101,20170101.0,,N
1206,A9599,10,3,"Radiopharmaceutical, diagnostic, for beta-amyloid positron emission tomography (pet) imaging, per study dose, not otherwise specified",Radioph dx b amyloid pet nos,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,D,,,,,,191.0,I1E,4,,,,,0.0,20140101,20180101.0,20171231.0,N
1207,A9600,10,3,"Strontium sr-89 chloride, therapeutic, per millicurie",Sr89 strontium,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,6,,,,,0.0,19980101,20250101.0,,N
1208,A9601,10,3,"Flortaucipir f 18 injection, diagnostic, 1 millicurie",Flortaucipir inj 1 millicuri,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20220701.0,,,,,I1E,4,,,,,0.0,20220701,20220701.0,,N
1209,A9602,10,3,"Fluorodopa f-18, diagnostic, per millicurie",Fluorodopa f-18 diag per mci,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20221001.0,,,,,I1E,4,,,,,0.0,20221001,20221001.0,,N
1210,A9603,10,3,"Injection, pafolacianine, 0.1 mg","Inj, pafolacianine, 0.1 mg",51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20231001,20231001.0,,N
1211,A9604,10,3,"Samarium sm-153 lexidronam, therapeutic, per treatment dose, up to 150 millicuries",Sm 153 lexidronam,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,6,,,,,0.0,20100101,20250101.0,,N
1212,A9606,10,3,"Radium ra-223 dichloride, therapeutic, per microcurie",Radium ra223 dichloride ther,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20150101,20250101.0,,N
1213,A9607,10,3,"Lutetium lu 177 vipivotide tetraxetan, therapeutic, 1 millicurie",Lutetium lu 177 vipivotide,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,6,,,,,0.0,20221001,20250101.0,,N
1214,A9608,10,3,"Flotufolastat f 18, diagnostic, 1 millicurie",Flotufolastat f18 diag 1 mci,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20240101.0,,,,,I1E,4,,,,,0.0,20240101,20240101.0,,N
1215,A9609,10,3,Fludeoxyglucose f18 up to 15 millicuries,"F18 fdg, 15 millicuries",57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,6,,,,,0.0,20240101,20240101.0,,N
1216,A9610,10,3,"Xenon xe-129 hyperpolarized gas, diagnostic, per study dose","Xe129 xenon, diagnostic",57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20241001,20241001.0,,N
1217,A9611,10,3,"Flurpiridaz f 18, diagnostic, 1 millicurie","Flurpiridaz f18, diag, 1 mci",57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,4,,,,,0.0,20250401,20250401.0,,N
1218,A9612,10,3,"Injection, fluorescein, 1 mg","Inj, fluorescein, 1 mg",57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1F,4,,,,,0.0,20251001,20251001.0,,A
1219,A9615,10,3,"Injection, pegulicianine, 1 mg","Inj, pegulicianine, 1 mg",51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,O1E,4,,,,,0.0,20250101,20250101.0,,N
1220,A9616,10,3,"Gallium ga-68 gozetotide (gozellix), diagnostic, 1 millicurie",Gallium gozellix 1 millicuri,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20251001.0,,,,,I1E,4,,,,,0.0,20251001,20251001.0,,A
1221,A9697,10,3,"Injection, carboxydextran-coated superparamagnetic iron oxide, per study dose","Inj, magtrace per study dose",51.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20250101.0,,,,,I1E,4,,,,,0.0,20231001,20250101.0,,N
1222,A9698,10,3,"Non-radioactive contrast imaging material, not otherwise classified, per study",Non-rad contrast materialnoc,51.0,,,,A,,,,15022,,,,,,,,,,,,,,,,,D,,,,,,,I1E,4,,,,,0.0,20060101,20060101.0,,N
1223,A9699,10,3,"Radiopharmaceutical, therapeutic, not otherwise classified",Radiopharm rx agent noc,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,I1E,6,,,,,0.0,20030101,20060101.0,,N
1224,A9700,10,3,"Supply of injectable contrast material for use in echocardiography, per study",Echocardiography contrast,57.0,,,,A,,,,15360,,,,,,,,,,,,,,,,,D,,,,,,,I1E,9,,,,,0.0,20010101,20010101.0,,N
1225,A9800,10,3,"Gallium ga-68 gozetotide, diagnostic, (locametz), 1 millicurie",Gallium locametz 1 millicuri,57.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,20221001.0,,,,,I1E,4,,,,,0.0,20221001,20221001.0,,N
1226,A9900,10,3,"Miscellaneous dme supply, accessory, and/or service component of another hcpcs code",Supply/accessory/service,46.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,9,,,,,0.0,20000101,20010101.0,,N
1227,A9901,10,3,"Dme delivery, set up, and/or dispensing service component of another hcpcs code",Delivery/set up/dispensing,46.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,9,,,,,0.0,20000101,20010101.0,,N
1228,A9999,10,3,"Miscellaneous dme supply or accessory, not otherwise specified","Dme supply or accessory, nos",46.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1F,9,,,,,0.0,20040101,20040101.0,,N
1229,B4034,10,3,"Enteral feeding supply kit; syringe fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",Enter feed supkit syr by day,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20110101.0,,N
1230,B4035,10,3,"Enteral feeding supply kit; pump fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",Enteral feed supp pump per d,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20110101.0,,N
1231,B4036,10,3,"Enteral feeding supply kit; gravity fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",Enteral feed sup kit grav by,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20110101.0,,N
1232,B4081,10,3,Nasogastric tubing with stylet,Enteral ng tubing w/ stylet,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20020101.0,,N
1233,B4082,10,3,Nasogastric tubing without stylet,Enteral ng tubing w/o stylet,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20020101.0,,N
1234,B4083,10,3,Stomach tube - levine type,Enteral stomach tube levine,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20020101.0,,N
1235,B4087,10,3,"Gastrostomy/jejunostomy tube, standard, any material, any type, each","Gastro/jejuno tube, std",39.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1C,E,,,,,0.0,20080101,20080101.0,,N
1236,B4088,10,3,"Gastrostomy/jejunostomy tube, low-profile, any material, any type, each","Gastro/jejuno tube, low-pro",39.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1C,E,,,,,0.0,20080101,20160101.0,,N
1237,B4100,10,3,"Food thickener, administered orally, per ounce",Food thickener oral,0.0,,,,9,60-9,,,,,,,,,,,,,,,,,,,,M,,,,,,,Z2,E,,,,,0.0,20030101,20050101.0,,N
1238,B4102,10,3,"Enteral formula, for adults, used to replace fluids and electrolytes (e.g., clear liquids), 500 ml = 1 unit",Ef adult fluids and electro,39.0,,,,A,65-10,,,,,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20050101,20050101.0,,N
1239,B4103,10,3,"Enteral formula, for pediatrics, used to replace fluids and electrolytes (e.g., clear liquids), 500 ml = 1 unit",Ef ped fluid and electrolyte,46.0,,,,A,65-10,,,,,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20050101,20050101.0,,N
1240,B4104,10,3,"Additive for enteral formula (e.g., fiber)",Additive for enteral formula,0.0,,,,9,65-10,,,,,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20050101,20050101.0,,N
1241,B4105,10,3,"In-line cartridge containing digestive enzyme(s) for enteral feeding, each",Enzyme cartridge enteral nut,39.0,,,,A,,,,,,,,,,,,,,,,Q9994,,,,,C,,,,,,,O1C,E,,,,,0.0,20190101,20190101.0,,N
1242,B4148,10,3,"Enteral feeding supply kit; elastomeric control fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape",Enteral feed elastomer daily,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20231001,20231001.0,,N
1243,B4149,10,3,"Enteral formula, manufactured blenderized natural foods with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef blenderized foods,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20050101,20060101.0,,N
1244,B4150,10,3,"Enteral formula, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef complet w/intact nutrient,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20050101.0,,N
1245,B4152,10,3,"Enteral formula, nutritionally complete, calorically dense (equal to or greater than 1.5 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef calorie dense>/=1.5kcal,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19840101,20050101.0,,N
1246,B4153,10,3,"Enteral formula, nutritionally complete, hydrolyzed proteins (amino acids and peptide chain), includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef hydrolyzed/amino acids,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20050101.0,,N
1247,B4154,10,3,"Enteral formula, nutritionally complete, for special metabolic needs, excludes inherited disease of metabolism, includes altered composition of proteins, fats, carbohydrates, vitamins and/or minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef spec metabolic noninherit,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19840101,20050101.0,,N
1248,B4155,10,3,"Enteral formula, nutritionally incomplete/modular nutrients, includes specific nutrients, carbohydrates (e.g., glucose polymers), proteins/amino acids (e.g., glutamine, arginine), fat (e.g., medium chain triglycerides) or combination, administered through an enteral feeding tube, 100 calories = 1 unit",Ef incomplete/modular,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20050101.0,,N
1249,B4157,10,3,"Enteral formula, nutritionally complete, for special metabolic needs for inherited disease of metabolism, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef special metabolic inherit,39.0,,,,A,65-10,,,,,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20050101,20050101.0,,N
1250,B4158,10,3,"Enteral formula, for pediatrics, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber and/or iron, administered through an enteral feeding tube, 100 calories = 1 unit",Ef ped complete intact nut,46.0,,,,A,65-10,,,,,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20050101,20050101.0,,N
1251,B4159,10,3,"Enteral formula, for pediatrics, nutritionally complete soy based with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber and/or iron, administered through an enteral feeding tube, 100 calories = 1 unit",Ef ped complete soy based,46.0,,,,A,65-10,,,,,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20050101,20050101.0,,N
1252,B4160,10,3,"Enteral formula, for pediatrics, nutritionally complete calorically dense (equal to or greater than 0.7 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef ped caloric dense>/=0.7kc,46.0,,,,A,65-10,,,,,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20050101,20050101.0,,N
1253,B4161,10,3,"Enteral formula, for pediatrics, hydrolyzed/amino acids and peptide chain proteins, includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef ped hydrolyzed/amino acid,46.0,,,,A,65-10,,,,,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20050101,20050101.0,,N
1254,B4162,10,3,"Enteral formula, for pediatrics, special metabolic needs for inherited disease of metabolism, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef ped specmetabolic inherit,46.0,,,,A,65-10,,,,,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,20050101,20050101.0,,N
1255,B4164,10,3,"Parenteral nutrition solution: carbohydrates (dextrose), 50% or less (500 ml = 1 unit) - home mix",Parenteral 50% dextrose solu,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20020101.0,,N
1256,B4168,10,3,"Parenteral nutrition solution; amino acid, 3.5%, (500 ml = 1 unit) - home mix",Parenteral sol amino acid 3.,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19840101,20020101.0,,N
1257,B4172,10,3,"Parenteral nutrition solution; amino acid, 5.5% through 7%, (500 ml = 1 unit) - home mix",Parenteral sol amino acid 5.,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19840101,20020101.0,,N
1258,B4176,10,3,"Parenteral nutrition solution; amino acid, 7% through 8.5%, (500 ml = 1 unit) - home mix",Parenteral sol amino acid 7-,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20020101.0,,N
1259,B4178,10,3,"Parenteral nutrition solution: amino acid, greater than 8.5% (500 ml = 1 unit) - home mix",Parenteral sol amino acid >,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19880101,20020101.0,,N
1260,B4180,10,3,"Parenteral nutrition solution; carbohydrates (dextrose), greater than 50% (500 ml = 1 unit) - home mix",Parenteral sol carb > 50%,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20020101.0,,N
1261,B4185,10,3,"Parenteral nutrition solution, not otherwise specified, 10 grams lipids",Pn soln nos 10 grams lipids,39.0,,,,A,,,,,,,,,,,,,,,,,,,,,D,,,,,,126.0,O1C,E,,,,,0.0,20060101,20200101.0,,N
1262,B4187,10,3,"Omegaven, 10 grams lipids","Omegaven, 10 grams lipids",39.0,,,,A,,,,,,,,,,,,,,,,,,,,,D,,,,,,126.0,O1C,E,,,,,0.0,20200101,20200101.0,,N
1263,B4189,10,3,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 10 to 51 grams of protein - premix",Parenteral sol amino acid &,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19880101,20020101.0,,N
1264,B4193,10,3,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 52 to 73 grams of protein - premix",Parenteral sol 52-73 gm prot,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19880101,20020101.0,,N
1265,B4197,10,3,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, 74 to 100 grams of protein - premix",Parenteral sol 74-100 gm pro,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19880101,20020101.0,,N
1266,B4199,10,3,"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, over 100 grams of protein - premix",Parenteral sol > 100gm prote,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19880101,20020101.0,,N
1267,B4216,10,3,"Parenteral nutrition; additives (vitamins, trace elements, heparin, electrolytes), home mix, per day",Parenteral nutrition additiv,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19840101,20020101.0,,N
1268,B4220,10,3,"Parenteral nutrition supply kit; premix, per day",Parenteral supply kit premix,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19840101,20020101.0,,N
1269,B4222,10,3,"Parenteral nutrition supply kit; home mix, per day",Parenteral supply kit homemi,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20020101.0,,N
1270,B4224,10,3,"Parenteral nutrition administration kit, per day",Parenteral administration ki,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19860101,20020101.0,,N
1271,B5000,10,3,"Parenteral nutrition solution compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, renal-aminosyn-rf, nephramine, renamine-premix",Parenteral sol renal-amirosy,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19880101,20160101.0,,N
1272,B5100,10,3,"Parenteral nutrition solution compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, hepatic, hepatamine-premix",Parenteral solution hepatic,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19880101,20160101.0,,N
1273,B5200,10,3,"Parenteral nutrition solution compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, stress-branch chain amino acids-freamine-hbc-premix",Parenteral sol hepatic fream,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19880101,20160101.0,,N
1274,B9000,10,3,Enteral nutrition infusion pump - without alarm,Enter infusion pump w/o alrm,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,A,P,R,,,0.0,19880101,20170101.0,20161231.0,N
1275,B9002,10,3,"Enteral nutrition infusion pump, any type",Enter nutr inf pump any type,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,A,P,R,,,0.0,19880101,20170101.0,,N
1276,B9004,10,3,"Parenteral nutrition infusion pump, portable",Parenteral infus pump portab,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,A,P,R,,,0.0,19880101,20020101.0,,N
1277,B9006,10,3,"Parenteral nutrition infusion pump, stationary",Parenteral infus pump statio,39.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,A,P,R,,,0.0,19880101,20020101.0,,N
1278,B9998,10,3,Noc for enteral supplies,Enteral supp not otherwise c,57.0,,,,A,65-10,,,2130,4450,,,,,,,,,,,,,,,,D,,,,,,,O1C,E,,,,,0.0,19850101,19960101.0,,N
